id,name,year_published,image_url,source,source_url,source_notes
e194dd10-b4d0-4358-a727-e97522f247cc,Age of Empires III: The Age of Discovery,2007,https://cf.geekdo-images.com/t_4cyWZs2IC5s6V8t-R_Uw__original/img/oeo2_Rhha99XiJXG2K28W6J2qjM=/0x0/filters:format(jpeg)/pic990261.jpg,legacy_unknown,,
c2196a99-a2e5-46e8-a45d-b70f9b2e3400,Across 5 Aprils,1992,https://cf.geekdo-images.com/UGRS7fiKNPGzcuysk_zTfg__original/img/zojQJNDN65vZXQ9esq1hnVJLk6Y=/0x0/filters:format(jpeg)/pic292729.jpg,legacy_unknown,,
9e5dffae-db4c-4b9a-895f-5292c1a9b175,Exploding Kittens: Good Vs Evil,2023,https://cf.geekdo-images.com/VwOSk5hqgFJLDPPbX0lqDQ__original/img/hRuMCnc1ltpFnqQwW1mdU1tNzM8=/0x0/filters:format(png)/pic7633899.png,legacy_unknown,,
030b4089-0211-4f0c-9ac5-01e439e71a22,Santa Cruz,2012,https://cf.geekdo-images.com/yto3OwDAuY_FjJ9LfLyb1w__original/img/vk0KtBHpyVdCEWA-x86_oU1qLTM=/0x0/filters:format(jpeg)/pic1241342.jpg,legacy_unknown,,
34f50546-97ce-4981-af8a-529878ee07ea,Scooby-Doo: Escape from the Haunted Mansion,2020,https://cf.geekdo-images.com/h7P6ctyk0ha4rIt8YiriSQ__original/img/k6jFPqkz3bWYd6zMwoexywVOdAU=/0x0/filters:format(jpeg)/pic5239705.jpg,legacy_unknown,,
658d881c-bd8b-4d1f-b2a3-dd3e9a58fd04,Ada Lovelace: Consulting Mathematician,2017,https://cf.geekdo-images.com/lRTHm7jeRr1vD8WAMmvUYQ__original/img/5iFvxvDnO2oIi7zqC6bD8-WsI-w=/0x0/filters:format(jpeg)/pic3804826.jpg,legacy_unknown,,
329092e0-7d3c-41da-aa3c-c2ff78354583,Coimbra,2018,https://cf.geekdo-images.com/JJFHx0RiUBYdy9bHAgVSuA__original/img/zwcZQov_aUfBN0z9J9PzsJqomeI=/0x0/filters:format(jpeg)/pic3956079.jpg,legacy_unknown,,
f0a7def8-a30e-4bb3-b63f-654712184b6a,Advanced Squad Leader: Starter Kit #3,2007,https://cf.geekdo-images.com/Y_JDrY0L6N1PyWzSQM4BTg__original/img/IbBSFYYUEY4viWYYGGfMn-MXY9o=/0x0/filters:format(jpeg)/pic131917.jpg,legacy_unknown,,
21ad6018-f36d-48a5-a086-34657954f777,Orléans: Trade & Intrigue,2016,https://cf.geekdo-images.com/oIkUXEamzeUHHf-Jhow_zg__original/img/2bfq1WL5ILWHI7eDP-YmcHsZ3Pc=/0x0/filters:format(jpeg)/pic6228509.jpg,legacy_unknown,,
bc3a2554-4d9f-42be-aea3-1fcce7858c2f,Juwelenjagd,2011,https://cf.geekdo-images.com/tG0ZYkfSIQHIjhDis0WSHA__original/img/BMIhkuDrnVdqBAI2G_9TTx45mP4=/0x0/filters:format(png)/pic1159498.png,legacy_unknown,,
a12efd1c-f291-4e01-baa9-332b62af2868,Heave Ho!,2002,https://cf.geekdo-images.com/-Dwmt-ovCh74rF1uJeY7dw__original/img/xsM-C5xKu9jOZADHGJNC1PA9IYo=/0x0/filters:format(jpeg)/pic169331.jpg,legacy_unknown,,
6e71bf78-7b6a-49f1-8cde-e700c85d0a56,It's Mine!,1998,https://cf.geekdo-images.com/A3fpOaxuSYPPwRypP1-irw__original/img/qma9TW4Ir9GU2UriQ_XcBPzJy2U=/0x0/filters:format(jpeg)/pic324995.jpg,legacy_unknown,,
a1a8866d-6c6d-49be-9c8e-fe3d6086a52e,Anachrony,2017,https://cf.geekdo-images.com/31quLNzteInnevVRAABoow__original/img/3KfMPSj7jjhG0g5lQBsO-bn67D0=/0x0/filters:format(jpeg)/pic3499707.jpg,legacy_unknown,,
0c3fbb46-7a06-4fb3-902f-2630d9d95b7c,Aeon Trespass: Odyssey,2022,https://cf.geekdo-images.com/l5vgu2EcX8qm7_p9zhROuQ__original/img/Ua9vz7SNNj175jUlBuA0t7To1FQ=/0x0/filters:format(jpeg)/pic4874391.jpg,legacy_unknown,,
d928a6fa-0c4d-489b-8864-756a8cac7851,Jurassic Snack,2018,https://cf.geekdo-images.com/JfRSyYQrbr2kcmj0460O2A__original/img/qMy12FAtJj_vTXLvaGXQNco7ams=/0x0/filters:format(jpeg)/pic3869828.jpg,legacy_unknown,,
6eb02c5a-b6d6-4c7f-a074-9fd30d4ee05d,Metro X,2018,https://cf.geekdo-images.com/uJZj-ugVw_EzKTLcPlGmpA__original/img/JUGbz4iwAE0nms1aFad2bk0capI=/0x0/filters:format(jpeg)/pic5236778.jpg,legacy_unknown,,
31ddecbe-4591-4e59-b9cf-dcfd51d4370b,BattleTech: A Game of Armored Combat,2019,https://cf.geekdo-images.com/r1wbk3AK3J07jdb8n2pIDA__original/img/-Cfh41VKYNbV4asx73ZTjCx1nns=/0x0/filters:format(png)/pic4550063.png,legacy_unknown,,
db58ff50-8bf7-46f9-b57f-7a80d4fa9e41,Aeon's End: Outcasts,2020,https://cf.geekdo-images.com/TvSUxRcx_KsnJXaTJXP2Ww__original/img/Gnv3bFJf5jEl_JevuBNjIcWoLpk=/0x0/filters:format(jpeg)/pic5182494.jpg,legacy_unknown,,
a5abf402-ad4c-4554-81a8-7bc42285205e,Atlantis Rising (Second Edition),2019,https://cf.geekdo-images.com/WRHngbJkWiKAJ4U8xSySIQ__original/img/TXo07OaiWGK59Zu0IBXbnBpbmag=/0x0/filters:format(jpeg)/pic4895878.jpg,legacy_unknown,,
63061519-cfe2-4cd1-9aa9-9d88c60be7bb,Codenames: Deep Undercover,2016,https://cf.geekdo-images.com/Hnxruo8BBx73kd4TCZQdYg__original/img/1vLShAQ6FSqcnDF5ik_7bUAFjGQ=/0x0/filters:format(jpeg)/pic4390414.jpg,legacy_unknown,,
ae190fb2-38d1-486e-8ff3-e21a6e69e75c,Bamboleo,1996,https://cf.geekdo-images.com/Haz0aE28ZWXr4YSIprzVLA__original/img/O0NdbW-WkdS2P8jaLOg0aUNQPSU=/0x0/filters:format(jpeg)/pic665201.jpg,legacy_unknown,,
c194e02c-3951-4874-b3a5-b2bc8f058c76,Aeroplanes: Aviation Ascendant,2012,https://cf.geekdo-images.com/u0sjfmx7u5vN5EPZJFPlOg__original/img/VtHD9nc1euJwyxkg8vA1dzNhHBM=/0x0/filters:format(jpeg)/pic1221593.jpg,legacy_unknown,,
7dbda423-17a4-483f-bdec-73f0f7a45fb4,Advanced Squad Leader: Starter Kit #2,2005,https://cf.geekdo-images.com/Ax6xtnLMaW_yR12Wx9tyeQ__original/img/6xn3uhZME7y1orKiShSCJpZSHN8=/0x0/filters:format(jpeg)/pic4088618.jpg,legacy_unknown,,
