id,name,year_published,source,source_url,source_notes,source_confidence
1277aa57-7445-4b96-947e-4e9f4bf5cf2a,2 Minutes to Midnight,2022,legacy_unknown,,,0.1
e455fc5c-fcf5-431b-8e83-dd1711bb23bc,20 Questions,1988,legacy_unknown,,,0.1
95050333-9ca3-418b-b544-7e895a1ade21,20 sekund challenge,2021,legacy_unknown,,,0.1
b60b8a0b-1838-4ee8-b75b-e6d149681dad,20 Strong,2023,legacy_unknown,,,0.1
ab0ae8e3-284d-4ad1-b59b-4de059ac8866,20th Century,2010,legacy_unknown,,,0.1
848f4388-2175-4b38-80f3-7614cbaf4a53,20th Century århundredets spil,1998,legacy_unknown,,,0.1
100de423-ef75-495d-b724-938cb26281a9,221B Baker Street: The Master Detective Game,1975,legacy_unknown,,,0.1
f75e2683-90c2-4617-9c20-25b3949c2173,2491 Planetship,2020,legacy_unknown,,,0.1
efb93e73-f208-4ac4-9cc2-e1c38bbd035f,25 Words or Less,1996,legacy_unknown,,,0.1
b74c73ac-a5ea-4ddb-ae5a-f25a4f374562,2GM Tactics,2015,legacy_unknown,,,0.1
7ffbed6c-907d-4fc4-9162-963a77493ba3,2nd Fleet: Modern Naval Combat in the North Atlantic,1986,legacy_unknown,,,0.1
5b1af7f6-7808-433e-a43c-f243374fd6cd,3 Chapters,2024,legacy_unknown,,,0.1
594ca144-3793-408e-a4a1-c95c8f9a382c,3 mit Kopf & Pfote: Wettbewerb der Tiere,2006,legacy_unknown,,,0.1
26dd649f-8c17-4508-8b6f-bad05a61fbb0,3 of a Kind,2024,legacy_unknown,,,0.1
adb5c63b-afb4-4e41-b215-2b40ca38fe8e,3 Or More,1980,legacy_unknown,,,0.1
03c61d7a-f8b2-4a2d-816a-b97d6dcf3802,3 Ring Circus,2023,legacy_unknown,,,0.1
a30c63a7-7255-488c-ad14-cbd983735a23,3 sind eine zu viel!,2015,legacy_unknown,,,0.1
b8c1d2b8-f9b2-4c4f-b0a5-8d68e9d8d5d0,3 Stones,2000,legacy_unknown,,,0.1
2ddafe10-ca3f-4e75-a12a-1a6339dd767c,3 Things,2019,legacy_unknown,,,0.1
307fca74-1c89-4878-a4c2-e95392a0cc3d,30 Carats,2013,legacy_unknown,,,0.1
a0a8bf7a-bda4-4269-9ec5-2797ef22805b,30 Rails,2016,legacy_unknown,,,0.1
0f860dde-f9a8-4b1e-8a43-164330bb3588,30 Seconds,2002,legacy_unknown,,,0.1
c5c914b9-6a5a-409b-a096-33c10d61151e,300: Earth & Water,2018,legacy_unknown,,,0.1
4b8f9d41-e5eb-4aa5-8977-4280a6c7f179,303,2010,legacy_unknown,,,0.1
acd77a89-5b74-44a0-801a-1b72358aab7d,303 Squadron,2021,legacy_unknown,,,0.1
1b1db734-10be-49a1-9ef1-d62d54951916,3D Labyrinth,2019,legacy_unknown,,,0.1
9b1f3474-fc8c-4ce9-9fb5-4ab0bf95200f,"3rd Fleet: Modern Naval Combat in the North Pacific, Caribbean, and Atlantic Oceans",1990,legacy_unknown,,,0.1
3eecf44b-82a2-45e7-b672-b1cf5b71ba21,4 the Birds,2016,legacy_unknown,,,0.1
7a7eb7d5-a66f-498c-8271-8b5feb25bc4a,48th Panzer Korps: Battles on the River Chir,1991,legacy_unknown,,,0.1
06164fb2-8db9-46b7-98f4-10f34d61c5e9,5 Alive,1990,legacy_unknown,,,0.1
