game_name,stars,mapped_ranking
Train & Railway,3.5,7
Traveller Customizable Card Game,3.5,7
Trickster: Champions of Time,3.5,7
Unsolved Case Files,3.5,7
V-Wars,3.5,7
Vivo,3.5,7
Warhammer Age of Sigmar: Beginner Set,3.5,7
We Need to Talk,3.5,7
What Came First?,3.5,7
Wicked: The Game,3.5,7
Wild Kratts Endangered Wildlife,3.5,7
Woo-Hoo,3.5,7
WWE Royal Rumble Card Game,3.5,7
Zombie Tower 3D,3.5,7
3 Wishes,3,6
7-Card Slugfest,3,6
Adulthood,3,6
Aldr: The High Sage,3,6
An Age Contrived,3,6
Arctic,3,6
Atari’s Centipede,3,6
Australis,3,6
Back to the Future: An Adventure Through Time,3,6
Bahamas,3,6
BetaBotz: Byte of Passage Review,3,6
BitterSweet,3,6
Boom Blast Stix,3,6
Bountytown,3,6
Break In: Alcatraz,3,6
Captain’s Wager,3,6
Carrotia,3,6
Cassiopeia,3,6
Cerebria: The Card Game,3,6
Codenames: Disney,3,6
Color It!,3,6
Combat Arena: Clash of Champions,3,6
Conquest: The Last Argument of Kings,3,6
Crazy Cultists,3,6
Cryptid Cafe,3,6
Dastardly Dirigibles,3,6
Dead by Daylight,3,6
Deep Shelf,3,6
Die Hard: The Nakatomi Heist,3,6
Die in the Dungeon,3,6
Dimension: The Brain Game To Go,3,6
Dino Party,3,6
Dirt & Dust,3,6
Disney Lorcana: Gateway,3,6
Draconis Invasion,3,6
Draft and Write Records,3,6
Dragonbond Lords of Vaala,3,6
Duel of Wands,3,6
Dungeon Busters,3,6
Dungeon Scrawlers: Heroes of Undermountain,3,6
Dust in the Wings,3,6
Endless Destinies: The Clockwork City,3,6
Enola Holmes: Finder of Lost Souls,3,6
Epic Resort,3,6
Escape from Projekt Riese,3,6
EXIT: The Game,3,6
Exodus Fleet,3,6
Famous: Stage I,3,6
Fantasy Defense,3,6
Favelas,3,6
Fight 5,3,6
Firefly: Misbehavin’,3,6
Fishing Party,3,6
Flex NBA,3,6
Flower Fields,3,6
G.I. JOE: Battle for the Arctic Circle,3,6
Galactic Duel,3,6
Garbage Day,3,6
Gasha,3,6
Green Deal,3,6
Gut Check,3,6
H.I.D.E.: Hidden Identity Dice Espionage,3,6
Happy Home,3,6
Happy Party,3,6
Hello Kitty: Day at the Park,3,6
Hexes of Sygon,3,6
Holding On: The Troubled Life of Billy Kerr,3,6
Holly Jolly,3,6
Ice Hoppers,3,6
Incredibrawl,3,6
Indiana Jones: Sands of Adventure,3,6
It’s a Small World,3,6
Junior Detective,3,6
Karuba: The Card Game,3,6
Katmai: The Bears of Brooks River,3,6
Keepers of the Questar,3,6
King Frog,3,6
Knuckling Knights,3,6
Konja,3,6
Legacies,3,6
Legends Untold: The Great Sewers Novice Set,3,6
Lords and Ladies,3,6
Lucky Dogs,3,6
Macroscope,3,6
Manhattan Project: War Machine,3,6
Marbleous,3,6
Metrorunner,3,6
Million Dollar Script,3,6
Mistborn: House War,3,6
Mutants Solo,3,6
Muttin Bustin,3,6
My City: Roll and Build,3,6
Narwhal Free For All,3,6
"Oh No, We Crashed!",3,6
Orphan Black: The Card Game,3,6
Overboss: Duel,3,6
Overdrive,3,6
Pacific Go,3,6
Pact,3,6
Pancake Monster,3,6
Pathfinder: Level 20,3,6
Pew Pew!,3,6
