user,game_name,mapped_ranking
zekewest,Australis,6
zekewest,Back to the Future: An Adventure Through Time,6
zekewest,Bahamas,6
zekewest,BetaBotz: Byte of Passage Review,6
zekewest,BitterSweet,6
zekewest,Boom Blast Stix,6
zekewest,Bountytown,6
zekewest,Break In: Alcatraz,6
zekewest,Captain’s Wager,6
zekewest,Carrotia,6
zekewest,Cassiopeia,6
zekewest,Cerebria: The Card Game,6
zekewest,Codenames: Disney,6
zekewest,Color It!,6
zekewest,Combat Arena: Clash of Champions,6
zekewest,Conquest: The Last Argument of Kings,6
zekewest,Crazy Cultists,6
zekewest,Cryptid Cafe,6
zekewest,Dastardly Dirigibles,6
zekewest,Dead by Daylight,6
zekewest,Deep Shelf,6
zekewest,Die Hard: The Nakatomi Heist,6
zekewest,Die in the Dungeon,6
zekewest,Dimension: The Brain Game To Go,6
zekewest,Dino Party,6
zekewest,Dirt & Dust,6
zekewest,Disney Lorcana: Gateway,6
zekewest,Draconis Invasion,6
zekewest,Draft and Write Records,6
zekewest,Dragonbond Lords of Vaala,6
zekewest,Duel of Wands,6
zekewest,Dungeon Busters,6
zekewest,Dungeon Scrawlers: Heroes of Undermountain,6
zekewest,Dust in the Wings,6
zekewest,Endless Destinies: The Clockwork City,6
zekewest,Enola Holmes: Finder of Lost Souls,6
zekewest,Epic Resort,6
zekewest,Escape from Projekt Riese,6
zekewest,EXIT: The Game,6
zekewest,Exodus Fleet,6
zekewest,Famous: Stage I,6
zekewest,Fantasy Defense,6
zekewest,Favelas,6
zekewest,Fight 5,6
zekewest,Firefly: Misbehavin’,6
zekewest,Fishing Party,6
zekewest,Flex NBA,6
zekewest,Flower Fields,6
zekewest,G.I. JOE: Battle for the Arctic Circle,6
zekewest,Galactic Duel,6
zekewest,Garbage Day,6
zekewest,Gasha,6
zekewest,Green Deal,6
zekewest,Gut Check,6
zekewest,H.I.D.E.: Hidden Identity Dice Espionage,6
zekewest,Happy Home,6
zekewest,Happy Party,6
zekewest,Hello Kitty: Day at the Park,6
zekewest,Hexes of Sygon,6
zekewest,Holding On: The Troubled Life of Billy Kerr,6
zekewest,Holly Jolly,6
zekewest,Ice Hoppers,6
zekewest,Incredibrawl,6
zekewest,Indiana Jones: Sands of Adventure,6
zekewest,It’s a Small World,6
zekewest,Junior Detective,6
zekewest,Karuba: The Card Game,6
zekewest,Katmai: The Bears of Brooks River,6
zekewest,Keepers of the Questar,6
zekewest,King Frog,6
zekewest,Knuckling Knights,6
zekewest,Konja,6
zekewest,Legacies,6
zekewest,Legends Untold: The Great Sewers Novice Set,6
zekewest,Lords and Ladies,6
zekewest,Lucky Dogs,6
zekewest,Macroscope,6
zekewest,Manhattan Project: War Machine,6
zekewest,Marbleous,6
zekewest,Metrorunner,6
zekewest,Million Dollar Script,6
zekewest,Mistborn: House War,6
zekewest,Mutants Solo,6
zekewest,Muttin Bustin,6
zekewest,My City: Roll and Build,6
zekewest,Narwhal Free For All,6
zekewest,"Oh No, We Crashed!",6
zekewest,Orphan Black: The Card Game,6
zekewest,Overboss: Duel,6
zekewest,Overdrive,6
zekewest,Pacific Go,6
zekewest,Pact,6
zekewest,Pancake Monster,6
zekewest,Pathfinder: Level 20,6
zekewest,Pew Pew!,6
zekewest,Pig Puzzle,6
zekewest,Pop The Box,6
zekewest,Pucket,6
zekewest,Purrrlock Holmes: Furriarty’s Trail,6
zekewest,Quixx,6
zekewest,Quoridor Pac-Man,6
zekewest,Raid & Trade,6
zekewest,Road Kill Rally,6
zekewest,Roadkill,6
zekewest,Run! Run! Run!,6
zekewest,Runemasters,6
zekewest,Salem,6
zekewest,Sand Art,6
zekewest,Scripts & Scribes: The Dice Game,6
zekewest,Shadowgate: The Living Castle,6
zekewest,Shahrazad,6
zekewest,Shifting Realms,6
zekewest,Show and Tile,6
zekewest,Silver and Gold,6
zekewest,Skyline,6
zekewest,Space Marine – The Board Game,6
zekewest,Space Marine Adventures: Rise of the Orks,6
zekewest,Space Marine Adventures: Tyranid Attack!,6
zekewest,Spy x Family: Mission for Peanuts,6
zekewest,Squadro,6
zekewest,St. Patrick,6
zekewest,Star Realms: Rise of Empire,6
zekewest,Star Trek: Discovery – Black Alert,6
zekewest,Star Wars Rivals,6
zekewest,Stranger Things Dungeons & Dragons Starter Set,6
zekewest,Sunny Day Sardines,6
zekewest,Super Kawaii Pets,6
zekewest,Switchbacks,6
zekewest,Symphony No. 9,6
zekewest,Tangram City,6
zekewest,Tanks: Panthers vs. Sherman,6
zekewest,Tanto Cuore: Memento Mori – Twilight Manor,6
zekewest,Team Up!,6
zekewest,Teeter Tower,6
zekewest,That Old Wallpaper,6
zekewest,The Binding of Isaac: Four Souls Requiem,6
zekewest,The Captain Is Dead: Dangerous Planet,6
zekewest,The Gardens,6
zekewest,The Key: Escape from Strongwall Prison,6
zekewest,The Legends of Andor,6
zekewest,The Ming Voyages,6
zekewest,The Potion,6
zekewest,The Table is Lava,6
zekewest,This War of Mine,6
zekewest,Those Pesky Humans,6
zekewest,Titan Race,6
zekewest,Titans Tactics,6
zekewest,Tokaido 10th Anniversary Edition,6
zekewest,Trail Story: America,6
zekewest,TRND,6
zekewest,Tusk! Surviving the Ice Age,6
zekewest,Twenty One,6
zekewest,Two Base Stations,6
zekewest,UBOOT,6
zekewest,Vinyl: Jukebox,6
zekewest,Warcrow Adventures,6
zekewest,Warhammer 40k: Combat Arena – Lair of the Beast,6
zekewest,Warhammer Age of Sigmar: Crypt Hunters,6
zekewest,Weirdwood Manor,6
zekewest,Windup War,6
zekewest,Yogi,6
zekewest,3 Laws of Robotics,5
zekewest,3-4 Headed Monster,5
zekewest,3000 Scoundrels,5
zekewest,Aerodome: Rising Horizons,5
zekewest,Apocrypha,5
zekewest,Archmage,5
zekewest,Back to the Future: Outatime,5
zekewest,Bad Beets,5
zekewest,Bad Neighbors,5
zekewest,Beatdown: Streets of Justice,5
zekewest,Beer IQ,5
zekewest,Belle of the Ball,5
zekewest,Big Dig,5
zekewest,Black Hat,5
zekewest,Blueshift,5
zekewest,Borgata,5
zekewest,Cantankerous Cats,5
zekewest,Carthago,5
zekewest,Chrono Corsairs,5
zekewest,Color Field,5
zekewest,Conquest of Speros,5
zekewest,Cursed Lands: Morgulia,5
zekewest,Cyber Pet Quest,5
zekewest,Damage Report,5
zekewest,Dark Souls: The Board Game – Painted World of Ariamis,5
zekewest,DC Forever,5
zekewest,Dice Manor,5
zekewest,Difference,5
zekewest,Discover: Lands Unknown,5
zekewest,Disney Princess See the Story,5
zekewest,Divinus,5
zekewest,Dragon Ball Z: Perfect Cell,5
zekewest,Dune: House Secrets,5
zekewest,Dungeon Draft,5
zekewest,Dungeons & Dragons: Builders of Baldur’s Gate,5
zekewest,Dying Message,5
zekewest,E.T. The Extra-Terrestrial: Light Years from Home Game,5
zekewest,Express Route,5
zekewest,Farmageddon,5
zekewest,Fluttering Souls,5
zekewest,Folded Wishes,5
zekewest,Food Truck Champion,5
zekewest,Football Highlights 2052,5
zekewest,Going Concern,5
zekewest,Greece Lightning,5
zekewest,Guild Academies of Valeria,5
zekewest,Head of Mousehold,5
zekewest,Hippo,5
zekewest,Humble Tea Party,5
zekewest,"I Say, Holmes!",5
zekewest,Incorporated,5
zekewest,Ink Monsters,5
zekewest,Jewel Thief,5
zekewest,Jinja,5
zekewest,Judge Dredd: The Cursed Earth,5
zekewest,Kingsport Festival: The Card Game,5
zekewest,Layers,5
zekewest,Longboard,5
zekewest,Lunar Skyline,5
zekewest,Marvel Battleworld,5
zekewest,Master of Wills,5
zekewest,Microfilms,5
zekewest,Missile Command,5
zekewest,Moments,5
zekewest,Moonflight,5
zekewest,Nerdy Inventions,5
zekewest,Nights of Fire: Battle for Budapest,5
zekewest,Nuked,5
zekewest,Parks Memories,5
zekewest,Pittsburg 68,5
zekewest,Pizza Party Throwdown,5
zekewest,Political Animals,5
zekewest,Revolution of 1828,5
zekewest,Roll Camera!,5
zekewest,Sarah’s Vision,5
zekewest,Shadow Rivals,5
zekewest,Shadowed Kingdom,5
zekewest,Sixpence Bakery,5
zekewest,Sleeping Queens 2: The Rescue,5
zekewest,Son of Esker,5
zekewest,Starfinder: Pirates of Skydock,5
zekewest,Stick to Colours,5
zekewest,Tales of Evil,5
zekewest,Talisman: Batman – Super Villain Edition,5
zekewest,Tammany,5
zekewest,Tear-able Quest,5
zekewest,Techlandia,5
zekewest,The Dark Quarter,5
zekewest,The Goonies Adventure Card Game,5
zekewest,The Last Bottle of Rum,5
zekewest,The Path of Adventurers,5
zekewest,The Silver River,5
zekewest,Theomachy,5
zekewest,They Who Were 8,5
zekewest,Time Breaker,5
zekewest,Time Division,5
zekewest,Tokyo Coin Laundry,5
zekewest,Towers of Äm’härb,5
zekewest,Train Heist,5
zekewest,Truck Off,5
zekewest,Ultimate Treehouse,5
zekewest,Unrest,5
zekewest,Upkeep,5
zekewest,Vineyard,5
zekewest,Vivid: Memories,5
zekewest,Warhammer Quest Lost Relics,5
zekewest,Western Legends Showdown,5
zekewest,Wizards Wanted,5
zekewest,Wraith and the Giants,5
zekewest,Zombie Princess and the Enchanted Maze,5
zekewest,Zoo Ball,5
zekewest,Age of Dirt,4
zekewest,Bad Maps,4
zekewest,Blob Lobber,4
zekewest,Blossoms,4
zekewest,Casting Shadows,4
zekewest,Castle Raisers,4
zekewest,Coral Islands,4
zekewest,Cross Hares: Testing Ground,4
zekewest,Danger Park,4
zekewest,Drop Squad: The Escape!,4
zekewest,Dungeons and Dragons Onslaught,4
zekewest,Elden Ring: The Board Game – Stormveil Castle,4
zekewest,Elevenses: The Guilty Party,4
zekewest,Esc Welt Breakout Games,4
zekewest,Fairy Lights,4
zekewest,Far Space Foundry,4
zekewest,FourCuatro,4
zekewest,Gen7,4
zekewest,Gnomi,4
zekewest,Godsforge,4
zekewest,GoTown,4
zekewest,Harry Potter: House Cup Competition,4
zekewest,Head Hackers,4
zekewest,Incantris,4
zekewest,Islands in the Mist,4
zekewest,Isle of Monsters,4
zekewest,Ixi Kix,4
zekewest,Jabuka,4
